date,hour,day_of_week,is_weekend,demand_orders,is_peak
2025-02-13,17,Thursday,FALSE,37266,TRUE
2025-02-13,18,Thursday,FALSE,30850,FALSE
2025-02-13,19,Wednesday,FALSE,17083,FALSE
2025-02-13,20,Wednesday,FALSE,9516,FALSE
2025-02-13,21,Wednesday,FALSE,6376,FALSE
2025-02-13,22,Wednesday,FALSE,5676,FALSE
2025-02-13,23,Wednesday,FALSE,8601,FALSE
2025-02-14,0,Friday,FALSE,13128,FALSE
2025-02-14,1,Friday,FALSE,22562,FALSE
2025-02-14,2,Friday,FALSE,35696,FALSE
2025-02-14,3,Friday,FALSE,43383,TRUE
2025-02-14,4,Friday,FALSE,37510,TRUE
2025-02-14,5,Friday,FALSE,32999,FALSE
2025-02-14,6,Friday,FALSE,31589,FALSE
2025-02-14,7,Friday,FALSE,32770,FALSE
2025-02-14,8,Friday,FALSE,34603,FALSE
2025-02-14,9,Friday,FALSE,37458,TRUE
2025-02-14,10,Friday,FALSE,37805,TRUE
2025-02-14,11,Friday,FALSE,40745,TRUE
2025-02-14,12,Friday,FALSE,45380,TRUE
2025-02-14,13,Friday,FALSE,50219,TRUE
2025-02-14,14,Friday,FALSE,53640,TRUE
2025-02-14,15,Friday,FALSE,53464,TRUE
2025-02-14,16,Friday,FALSE,51189,TRUE
2025-02-14,17,Friday,FALSE,48955,TRUE
2025-02-14,18,Friday,FALSE,45643,TRUE
2025-02-14,19,Thursday,FALSE,22833,FALSE
2025-02-14,20,Thursday,FALSE,14740,FALSE
2025-02-14,21,Thursday,FALSE,9640,FALSE
2025-02-14,22,Thursday,FALSE,7787,FALSE
2025-02-14,23,Thursday,FALSE,9594,FALSE
2025-02-15,0,Saturday,TRUE,11924,FALSE
2025-02-15,1,Saturday,TRUE,14526,FALSE
2025-02-15,2,Saturday,TRUE,17957,FALSE
2025-02-15,3,Saturday,TRUE,21893,FALSE
2025-02-15,4,Saturday,TRUE,26940,FALSE
2025-02-15,5,Saturday,TRUE,30518,FALSE
2025-02-15,6,Saturday,TRUE,32604,FALSE
2025-02-15,7,Saturday,TRUE,34418,FALSE
2025-02-15,8,Saturday,TRUE,36327,FALSE
2025-02-15,9,Saturday,TRUE,40354,TRUE
2025-02-15,10,Saturday,TRUE,43496,TRUE
2025-02-15,11,Saturday,TRUE,44713,TRUE
2025-02-15,12,Saturday,TRUE,46702,TRUE
2025-02-15,13,Saturday,TRUE,51369,TRUE
2025-02-15,14,Saturday,TRUE,53559,TRUE
2025-02-15,15,Saturday,TRUE,51022,TRUE
2025-02-15,16,Saturday,TRUE,48924,TRUE
2025-02-15,17,Saturday,TRUE,46812,TRUE
2025-02-15,18,Saturday,TRUE,44349,TRUE
2025-02-15,19,Friday,FALSE,37480,TRUE
2025-02-15,20,Friday,FALSE,28421,FALSE
2025-02-15,21,Friday,FALSE,21794,FALSE
2025-02-15,22,Friday,FALSE,16503,FALSE
2025-02-15,23,Friday,FALSE,14469,FALSE
2025-02-16,0,Sunday,TRUE,11453,FALSE
2025-02-16,1,Sunday,TRUE,13602,FALSE
2025-02-16,2,Sunday,TRUE,16828,FALSE
2025-02-16,3,Sunday,TRUE,18875,FALSE
2025-02-16,4,Sunday,TRUE,23592,FALSE
2025-02-16,5,Sunday,TRUE,33015,FALSE
2025-02-16,6,Sunday,TRUE,34190,FALSE
2025-02-16,7,Sunday,TRUE,39154,TRUE
2025-02-16,8,Sunday,TRUE,40683,TRUE
2025-02-16,9,Sunday,TRUE,35599,FALSE
2025-02-16,10,Sunday,TRUE,33417,FALSE
2025-02-16,11,Sunday,TRUE,32725,FALSE
2025-02-16,12,Sunday,TRUE,36775,TRUE
2025-02-16,13,Sunday,TRUE,39381,TRUE
2025-02-16,14,Sunday,TRUE,36422,FALSE
2025-02-16,15,Sunday,TRUE,33285,FALSE
2025-02-16,16,Sunday,TRUE,31511,FALSE
2025-02-16,17,Sunday,TRUE,31711,FALSE
2025-02-16,18,Sunday,TRUE,29031,FALSE
2025-02-16,19,Saturday,TRUE,38204,TRUE
2025-02-16,20,Saturday,TRUE,29684,FALSE
2025-02-16,21,Saturday,TRUE,23248,FALSE
2025-02-16,22,Saturday,TRUE,17861,FALSE
2025-02-16,23,Saturday,TRUE,14767,FALSE
2025-02-17,0,Monday,FALSE,10872,FALSE
2025-02-17,1,Monday,FALSE,16567,FALSE
2025-02-17,2,Monday,FALSE,20700,FALSE
2025-02-17,3,Monday,FALSE,26202,FALSE
2025-02-17,4,Monday,FALSE,26980,FALSE
2025-02-17,5,Monday,FALSE,27149,FALSE
2025-02-17,6,Monday,FALSE,28600,FALSE
2025-02-17,7,Monday,FALSE,29384,FALSE
2025-02-17,8,Monday,FALSE,30261,FALSE
2025-02-17,9,Monday,FALSE,31783,FALSE
2025-02-17,10,Monday,FALSE,32321,FALSE
2025-02-17,11,Monday,FALSE,32591,FALSE
2025-02-17,12,Monday,FALSE,35204,FALSE
2025-02-17,13,Monday,FALSE,37105,TRUE
2025-02-17,14,Monday,FALSE,34843,FALSE
2025-02-17,15,Monday,FALSE,31215,FALSE
2025-02-17,16,Monday,FALSE,28408,FALSE
2025-02-17,17,Monday,FALSE,25950,FALSE
2025-02-17,18,Monday,FALSE,21234,FALSE
2025-02-17,19,Sunday,TRUE,21762,FALSE
2025-02-17,20,Sunday,TRUE,14637,FALSE
2025-02-17,21,Sunday,TRUE,10150,FALSE
2025-02-17,22,Sunday,TRUE,8054,FALSE
2025-02-17,23,Sunday,TRUE,9257,FALSE
2025-02-18,0,Tuesday,FALSE,11696,FALSE
2025-02-18,1,Tuesday,FALSE,20716,FALSE
2025-02-18,2,Tuesday,FALSE,31372,FALSE
2025-02-18,3,Tuesday,FALSE,41267,TRUE
2025-02-18,4,Tuesday,FALSE,37866,TRUE
2025-02-18,5,Tuesday,FALSE,31149,FALSE
2025-02-18,6,Tuesday,FALSE,28418,FALSE
2025-02-18,7,Tuesday,FALSE,28698,FALSE
2025-02-18,8,Tuesday,FALSE,28994,FALSE
2025-02-18,9,Tuesday,FALSE,30199,FALSE
