scenario,date,hour,is_peak,base_demand_orders,demand_orders,active_workers,total_capacity,fulfilled_orders,unfilled_orders,fulfillment_rate,utilization,wait_pressure_index,service_quality_score,avg_worker_earnings,platform_revenue,worker_cost,platform_margin
surge_pricing,2025-03-01,7,FALSE,33719,29865,11248.320613881788,25224.82634061175,25224.82634061175,4640.173659388249,0.8446283723626905,1,1.1839526503267779,0.8160473496732221,68.33428690042781,514586.45734847966,287563.02028297394,227023.4370655057
surge_pricing,2025-03-01,8,FALSE,35857,31759,13107.960710784671,29294.68539877241,29294.68539877241,2464.31460122759,0.92240578729722,1,1.0841215588316526,0.9158784411683474,66.90998384789906,597611.5821349572,333959.41354600544,263652.16858895175
surge_pricing,2025-03-01,9,TRUE,37902,33570,16512.837800523535,36741.29131483596,33570,0,1,0.913685904840383,0.913685904840383,1,59.071449042298376,684828,382698,302130
surge_pricing,2025-03-01,10,TRUE,38590,34180,17115.96635560545,38144.18497220435,34180,0,1,0.8960736747922902,0.8960736747922902,1,58.159618140278944,697272,389652,307620
surge_pricing,2025-03-01,11,TRUE,39554,35034,17864.861533440526,39892.23789846369,35034,0,1,0.8782159599361362,0.8782159599361362,1,57.17706091755463,714693.6,399387.6,315306
surge_pricing,2025-03-01,12,TRUE,40062,35483,18185.364784191202,40643.13423146179,35483,0,1,0.8730379846673504,0.8730379846673504,1,56.87555606860047,723853.2,404506.2,319346.99999999994
surge_pricing,2025-03-01,13,TRUE,44008,38979,19698.582785734663,44225.11305978707,38979,0,1,0.8813770571327889,0.8813770571327889,1,57.14208033590651,795171.6,444360.6,350811
surge_pricing,2025-03-01,14,TRUE,49399,43753,20697.898865518484,46688.25472019517,43753,0,1,0.9371307679461081,0.9371307679461081,1,59.42695449051857,892561.2,498784.19999999995,393777
surge_pricing,2025-03-01,15,TRUE,49483,43828,20708.269078829577,46715.21727480402,43828,0,1,0.938195358103124,0.938195358103124,1,59.464670693819244,894091.2,499639.19999999995,394452
surge_pricing,2025-03-01,16,TRUE,48895,43307,20636.526790759373,46528.687325821484,43307,0,1,0.9307591184926126,0.9307591184926126,1,59.198435836644,883462.7999999999,493699.8,389762.99999999994
